ID,Habitat,Drainage,Population,H2S,Slope
Banos1,S,Pich,Banos,0,0.00335
Banos1,S,Pich,Banos,10,0.00185
Banos1,S,Pich,Banos,30,-0.00295
Banos1,S,Pich,Banos,50,-0.00525
Banos1,S,Pich,Banos,80,-0.00955
Banos1,S,Pich,Banos,100,-0.01115
Banos2,S,Pich,Banos,0,0.0015
Banos2,S,Pich,Banos,10,0.0015
Banos2,S,Pich,Banos,30,-0.00315
Banos2,S,Pich,Banos,50,-0.0034
Banos2,S,Pich,Banos,80,-0.00575
Banos2,S,Pich,Banos,100,-0.0071
Banos3,S,Pich,Banos,0,0.00105
Banos3,S,Pich,Banos,10,-0.0008
Banos3,S,Pich,Banos,30,-0.00925
Banos3,S,Pich,Banos,50,-0.0126
Banos3,S,Pich,Banos,80,-0.01365
Banos3,S,Pich,Banos,100,-0.01405
Banos4,S,Pich,Banos,0,0.0007
Banos4,S,Pich,Banos,10,-0.0017
Banos4,S,Pich,Banos,30,-0.00765
Banos4,S,Pich,Banos,50,-0.00685
Banos4,S,Pich,Banos,80,-0.0105
Banos4,S,Pich,Banos,100,-0.0112
Rosita2,NS,Pich,Rosita,0,6.66E-17
Rosita2,NS,Pich,Rosita,10,-0.00205
Rosita2,NS,Pich,Rosita,30,-0.0011
Rosita2,NS,Pich,Rosita,50,0.0008
Rosita2,NS,Pich,Rosita,80,0.0075
Rosita2,NS,Pich,Rosita,100,0.0044
Rosita4,NS,Pich,Rosita,0,0.00155
Rosita4,NS,Pich,Rosita,10,-0.00315
Rosita4,NS,Pich,Rosita,30,-0.00295
Rosita4,NS,Pich,Rosita,50,0.0021
Rosita4,NS,Pich,Rosita,80,0.0041
Rosita4,NS,Pich,Rosita,100,0.00855
PSO1,S,Tac,PSO,0,0.0004
PSO1,S,Tac,PSO,10,-0.0008
PSO1,S,Tac,PSO,30,-0.00185
PSO1,S,Tac,PSO,50,-0.00585
PSO1,S,Tac,PSO,80,-0.0029
PSO1,S,Tac,PSO,100,0.0011
PSO2,S,Tac,PSO,0,0.0009
PSO2,S,Tac,PSO,10,-0.0034
PSO2,S,Tac,PSO,30,-0.0043
PSO2,S,Tac,PSO,50,-0.0102
PSO2,S,Tac,PSO,80,-0.00785
PSO2,S,Tac,PSO,100,-0.0051
PSO3,S,Tac,PSO,0,-1.00E-04
PSO3,S,Tac,PSO,10,-0.00205
PSO3,S,Tac,PSO,30,-0.00875
PSO3,S,Tac,PSO,50,-0.00815
PSO3,S,Tac,PSO,80,-0.0075
PSO3,S,Tac,PSO,100,-1.00E-04
PSO4,S,Tac,PSO,0,0.0013
PSO4,S,Tac,PSO,10,-0.00285
PSO4,S,Tac,PSO,30,-0.00155
PSO4,S,Tac,PSO,50,-0.00445
PSO4,S,Tac,PSO,80,0.0033
PSO4,S,Tac,PSO,100,0.003
Bonita1,NS,Tac,Bonita,0,0.0004
Bonita1,NS,Tac,Bonita,10,-0.00195
Bonita1,NS,Tac,Bonita,30,-0.00375
Bonita1,NS,Tac,Bonita,50,0.0006
Bonita1,NS,Tac,Bonita,80,0.001
Bonita1,NS,Tac,Bonita,100,0.00455
Bonita2,NS,Tac,Bonita,0,-0.0003
Bonita2,NS,Tac,Bonita,10,0.00475
Bonita2,NS,Tac,Bonita,30,-0.00205
Bonita2,NS,Tac,Bonita,50,-0.00025
Bonita2,NS,Tac,Bonita,80,-0.0056
Bonita2,NS,Tac,Bonita,100,0.0021
Bonita3,NS,Tac,Bonita,0,0.00075
Bonita3,NS,Tac,Bonita,10,-0.0012
Bonita3,NS,Tac,Bonita,30,-0.0028
Bonita3,NS,Tac,Bonita,50,0.0008
Bonita3,NS,Tac,Bonita,80,0.0077
Bonita3,NS,Tac,Bonita,100,0.0103
Lluvia1,S,Puy,Lluvia,0,0.00165
Lluvia1,S,Puy,Lluvia,10,0.0003
Lluvia1,S,Puy,Lluvia,30,-0.002
Lluvia1,S,Puy,Lluvia,50,-0.01145
Lluvia1,S,Puy,Lluvia,80,-0.0167
LLuvia1,S,Puy,Lluvia,100,-0.0166
Lluvia2,S,Puy,Lluvia,0,0.0022
Lluvia2,S,Puy,Lluvia,10,0.00085
Lluvia2,S,Puy,Lluvia,30,-0.0078
Lluvia2,S,Puy,Lluvia,50,-0.0091
Lluvia2,S,Puy,Lluvia,80,-0.01225
Lluvia2,S,Puy,Lluvia,100,-0.0049
Lluvia3,S,Puy,Lluvia,0,0.0013
Lluvia3,S,Puy,Lluvia,10,-0.00065
Lluvia3,S,Puy,Lluvia,30,-0.007
Lluvia3,S,Puy,Lluvia,50,-0.00975
Lluvia3,S,Puy,Lluvia,80,-0.0033
Lluvia3,S,Puy,Lluvia,100,-0.00575
Puya3,NS,Puy,Puya,0,-0.0007
Puya3,NS,Puy,Puya,10,5.00E-05
Puya3,NS,Puy,Puya,30,-0.00305
Puya3,NS,Puy,Puya,50,-0.0014
Puya3,NS,Puy,Puya,80,0.0038
Puya3,NS,Puy,Puya,100,0.0052
Puya4,NS,Puy,Puya,0,-0.0002
Puya4,NS,Puy,Puya,10,-0.0027
Puya4,NS,Puy,Puya,30,-0.0012
Puya4,NS,Puy,Puya,50,0.0005
Puya4,NS,Puy,Puya,80,0.0084
Puya4,NS,Puy,Puya,100,0.01135